Forma	Frec. gral.	Frec. norm.
democracia	24231	72.476
madera	24205	72.398
siento	24200	72.383
sentir	24197	72.374
situaciones	24192	72.359
compromiso	24171	72.296
solamente	24141	72.206
Siempre	24131	72.177
hotel	24128	72.168
vive	24128	72.168
recibir	24126	72.162
rápido	24119	72.141
gusto	24115	72.129
victoria	24074	72.006
entorno	24072	72.0
Tú	24070	71.994
velocidad	24068	71.988
podrá	24044	71.916
simple	24040	71.904
200	24038	71.898
jornada	24033	71.883
búsqueda	24025	71.859
juicio	24022	71.851
papá	24022	71.851
tantos	24020	71.845
funciones	24005	71.8
materiales	23967	71.686
venta	23962	71.671
diferencias	23953	71.644
administración	23920	71.545
mente	23910	71.516
logró	23902	71.492
pobreza	23854	71.348
sonrisa	23849	71.333
exterior	23834	71.288
verano	23799	71.184
autores	23794	71.169
Pérez	23771	71.1
plaza	23770	71.097
hermana	23746	71.025
sale	23745	71.022
quieren	23730	70.977
alcanzar	23723	70.956
normal	23682	70.834
I	23613	70.627
frío	23605	70.603
promedio	23580	70.528
cuadro	23578	70.523
física	23570	70.499
mensaje	23570	70.499
incluye	23567	70.49
pruebas	23537	70.4
dando	23535	70.394
presión	23503	70.298
habitantes	23476	70.217
secretario	23466	70.188
escuchar	23427	70.071
anteriores	23404	70.002
conmigo	23395	69.975
culturales	23391	69.963
feliz	23370	69.9
aquello	23365	69.885
fines	23343	69.82
veinte	23329	69.778
alma	23311	69.724
pensamiento	23301	69.694
científicos	23297	69.682
Fernández	23276	69.619
2009	23272	69.607
ambas	23257	69.562
Cruz	23242	69.518
tarea	23232	69.488
recibió	23229	69.479
establecer	23221	69.455
leche	23199	69.389
régimen	23174	69.314
buenos	23161	69.275
vi	23154	69.254
lectura	23134	69.194
instante	23107	69.114
prácticas	23090	69.063
escrito	23077	69.024
París	23070	69.003
similar	23044	68.925
intención	23015	68.839
escritor	23006	68.812
revista	22993	68.773
intervención	22991	68.767
pudiera	22991	68.767
principalmente	22943	68.623
Hace	22930	68.584
Ana	22927	68.575
ritmo	22882	68.441
debajo	22878	68.429
70	22871	68.408
ventana	22854	68.357
David	22849	68.342
segundos	22821	68.258
tono	22764	68.088
puedes	22743	68.025
llegada	22732	67.992
pese	22729	67.983
jugador	22646	67.735
desarrollar	22642	67.723
departamento	22638	67.711
tomó	22634	67.699
vecinos	22626	67.675
exposición	22607	67.618
encontró	22585	67.552
películas	22578	67.531
estará	22577	67.528
iniciativa	22569	67.505
B	22567	67.499
convertido	22565	67.493
argentino	22528	67.382
Presidente	22527	67.379
Dos	22514	67.34
operación	22512	67.334
planta	22500	67.298
laboral	22499	67.295
conflicto	22458	67.173
jueves	22449	67.146
distribución	22409	67.026
caer	22408	67.023
Sobre	22378	66.933
anunció	22367	66.9
comercial	22321	66.763
movimientos	22321	66.763
debate	22320	66.76
pocas	22306	66.718
periodo	22300	66.7
piernas	22274	66.622
Nada	22260	66.58
Tal	22243	66.529
juez	22232	66.497
Estas	22223	66.47
propias	22222	66.467
representa	22209	66.428
ganas	22206	66.419
muertos	22206	66.419
Aires	22187	66.362
completo	22172	66.317
tratar	22158	66.275
propósito	22091	66.075
iban	22090	66.072
peligro	22085	66.057
oro	22074	66.024
sexo	22074	66.024
agregó	22045	65.937
26	22036	65.91
inmediato	22036	65.91
líneas	22008	65.827
curso	21986	65.761
baño	21985	65.758
recuerda	21981	65.746
pueblos	21979	65.74
banda	21972	65.719
Constitución	21967	65.704
treinta	21948	65.647
presentó	21944	65.635
27	21943	65.632
28	21942	65.629
superficie	21939	65.62
páginas	21934	65.605
importa	21889	65.471
supone	21870	65.414
francés	21869	65.411
colores	21856	65.372
detalles	21834	65.306
simplemente	21822	65.27
entrega	21797	65.195
sexual	21795	65.189
puertas	21791	65.178
brazo	21770	65.115
fenómeno	21730	64.995
dieron	21722	64.971
Gran	21715	64.95
siente	21702	64.911
buenas	21692	64.881
Otro	21689	64.872
organismo	21687	64.866
90	21680	64.846
fui	21675	64.831
piensa	21616	64.654
respondió	21615	64.651
cáncer	21592	64.582
reconocimiento	21588	64.57
terreno	21573	64.525
requiere	21554	64.469
posibles	21498	64.301
mantiene	21486	64.265
calor	21485	64.262
espalda	21473	64.226
P	21468	64.211
clientes	21443	64.137
martes	21443	64.137
Asimismo	21442	64.134
consecuencias	21432	64.104
tales	21426	64.086
nota	21416	64.056
técnicas	21398	64.002
pérdida	21383	63.957
miércoles	21377	63.939
comportamiento	21375	63.933
unidad	21368	63.912
D	21365	63.903
recordar	21351	63.861
actualidad	21348	63.853
Banco	21341	63.832
Estoy	21330	63.799
realizó	21313	63.748
crítica	21295	63.694
provincia	21295	63.694
frecuencia	21289	63.676
radio	21282	63.655
cuentas	21245	63.544
aun	21244	63.541
categoría	21243	63.538
siguen	21242	63.535
PP	21217	63.461
conoce	21203	63.419
oferta	21196	63.398
armas	21179	63.347
presentación	21171	63.323
ausencia	21154	63.272
propiedad	21149	63.257
sacar	21148	63.254
militares	21145	63.245
tuvieron	21136	63.218
isla	21130	63.2
oposición	21109	63.138
cuál	21085	63.066
evolución	21067	63.012
quedado	21054	62.973
abrir	21046	62.949
incremento	21019	62.868
planes	21007	62.833
décadas	20986	62.77
triunfo	20986	62.77
verde	20983	62.761
viento	20976	62.74
asegura	20970	62.722
Puerto	20954	62.674
tendencia	20931	62.605
fase	20924	62.584
2011	20914	62.554
objetos	20913	62.551
aguas	20907	62.533
manejo	20868	62.417
ustedes	20858	62.387
noticia	20847	62.354
electoral	20841	62.336
Sánchez	20833	62.312
terminar	20790	62.184
China	20787	62.175
abrió	20784	62.166
mirar	20764	62.106
pequeñas	20762	62.1
construir	20735	62.019
quizás	20722	61.98
veo	20720	61.974
agentes	20706	61.932
Alemania	20699	61.911
grave	20696	61.902
miró	20695	61.899
afirma	20664	61.807
trabajando	20660	61.795
seres	20649	61.762
Alberto	20633	61.714
actualmente	20625	61.69
chica	20622	61.681
leyes	20601	61.618
opción	20571	61.528
Estaba	20557	61.487
dormir	20539	61.433
Ha	20527	61.397
conversación	20509	61.343
diálogo	20509	61.343
ocurrió	20493	61.295
hermanos	20490	61.286
ataque	20415	61.062
oficina	20400	61.017
propuestas	20328	60.802
planeta	20314	60.76
abierto	20310	60.748
Casa	20294	60.7
fotos	20288	60.682
civil	20283	60.667
colegio	20278	60.652
Julio	20268	60.622
s	20261	60.601
Allí	20254	60.58
investigadores	20246	60.556
buscando	20243	60.547
alguno	20242	60.544
pensando	20227	60.5
labor	20220	60.479
nombres	20188	60.383
utilizar	20188	60.383
torneo	20171	60.332
beneficios	20166	60.317
cualquiera	20162	60.305
Copa	20158	60.293
cuello	20109	60.147
normas	20108	60.144
quieres	20089	60.087
comprar	20082	60.066
teoría	20068	60.024
saben	20065	60.015
modelos	20054	59.982
noches	20050	59.97
entrevista	20045	59.955
León	20013	59.859
seguía	20006	59.839
página	20002	59.827
quiso	19981	59.764
Jesús	19979	59.758
pobre	19962	59.707
Martínez	19946	59.659
tradicional	19944	59.653
pago	19939	59.638
2012	19935	59.626
culpa	19931	59.614
vivo	19931	59.614
cadena	19915	59.566
niñas	19911	59.554
Algunos	19909	59.548
Tierra	19903	59.53
Central	19894	59.504
expertos	19887	59.483
Javier	19876	59.45
haga	19860	59.402
historias	19858	59.396
tendría	19858	59.396
Claro	19849	59.369
término	19840	59.342
realiza	19828	59.306
Tiene	19821	59.285
llegaron	19793	59.201
totalmente	19790	59.192
cámara	19783	59.172
perspectiva	19781	59.166
evento	19775	59.148
interesante	19775	59.148
documento	19774	59.145
esperanza	19761	59.106
sede	19750	59.073
premio	19729	59.01
disco	19724	58.995
global	19723	58.992
terminó	19722	58.989
dedos	19712	58.959
funcionarios	19709	58.95
encontraba	19700	58.923
Rafael	19686	58.881
suma	19657	58.795
económicos	19653	58.783
tantas	19642	58.75
labios	19615	58.669
ven	19601	58.627
trataba	19600	58.624
pareció	19590	58.594
pantalla	19588	58.588
Quién	19583	58.573
Justicia	19576	58.552
participar	19576	58.552
acaba	19564	58.517
histórico	19555	58.49
parecer	19548	58.469
bienes	19544	58.457
mirando	19538	58.439
EN	19533	58.424
empezar	19519	58.382
espíritu	19492	58.301
dicha	19475	58.25
contrato	19465	58.22
pensó	19465	58.22
presentan	19460	58.205
mínimo	19457	58.196
podían	19451	58.179
reducir	19428	58.11
indica	19419	58.083
35	19410	58.056
reciente	19403	58.035
cien	19397	58.017
animal	19373	57.945
Diego	19363	57.915
vieja	19332	57.823
fondos	19310	57.757
mercados	19303	57.736
R	19265	57.622
comentó	19259	57.604
Del	19246	57.565
Salvador	19245	57.562
II	19244	57.559
Liga	19240	57.547
abierta	19209	57.455
transporte	19189	57.395
hacerse	19164	57.32
logrado	19146	57.266
Martín	19098	57.123
error	19094	57.111
generar	19090	57.099
candidato	19054	56.991
representación	19044	56.961
juegos	19034	56.931
S	19030	56.919
Costa	19014	56.871
ayudar	19014	56.871
cita	19005	56.845
Tengo	18996	56.818
serio	18987	56.791
pobres	18954	56.692
Andrés	18947	56.671
llamar	18938	56.644
sonido	18938	56.644
circunstancias	18930	56.62
tanta	18925	56.605
comienza	18924	56.602
indígenas	18912	56.566
azul	18910	56.56
Ecuador	18904	56.542
pasando	18886	56.489
sabemos	18881	56.474
pasada	18868	56.435
evidente	18853	56.39
entidad	18847	56.372
tasa	18822	56.297
Latina	18797	56.222
tradición	18795	56.216
implica	18793	56.21
Otra	18788	56.195
debemos	18757	56.103
eeh	18754	56.094
misión	18744	56.064
llamó	18700	55.932
Tenía	18697	55.923
cuerpos	18697	55.923
sorpresa	18674	55.854
Asociación	18658	55.807
experiencias	18638	55.747
Social	18627	55.714
comercio	18623	55.702
frase	18620	55.693
espectáculo	18598	55.627
caída	18590	55.603
hogar	18570	55.543
contó	18568	55.537
árboles	18565	55.528
evaluación	18544	55.466
gol	18543	55.463
suele	18533	55.433
refiere	18484	55.286
carga	18465	55.229
presentar	18449	55.182
He	18444	55.167
vaya	18442	55.161
porcentaje	18430	55.125
científico	18418	55.089
oportunidades	18408	55.059
negocios	18404	55.047
creer	18400	55.035
funcionamiento	18398	55.029
unidades	18397	55.026
piezas	18395	55.02
influencia	18391	55.008
pecho	18380	54.975
reducción	18375	54.96
físico	18361	54.918
ganó	18351	54.888
querido	18343	54.864
actor	18335	54.841
ingreso	18319	54.793
piedra	18318	54.79
actuación	18311	54.769
poeta	18303	54.745
representantes	18289	54.703
Nadie	18282	54.682
musical	18276	54.664
Ramón	18264	54.628
llevado	18256	54.604
mexicano	18253	54.595
Ciudad	18226	54.515
costo	18218	54.491
esperaba	18203	54.446
morir	18161	54.32
gobiernos	18159	54.314
web	18144	54.269
abre	18142	54.263
clara	18105	54.153
maestro	18094	54.12
pensaba	18087	54.099
29	18078	54.072
estudiar	18065	54.033
altos	18055	54.003
Italia	18050	53.988
belleza	18038	53.952
venir	18034	53.94
dudas	17980	53.779
blanca	17968	53.743
aceite	17966	53.737
investigaciones	17964	53.731
Felipe	17952	53.695
prácticamente	17946	53.677
cerebro	17939	53.656
hojas	17936	53.647
encontrado	17931	53.632
Daniel	17925	53.614
quedan	17925	53.614
regiones	17922	53.605
llena	17909	53.566
próxima	17901	53.542
privado	17900	53.539
esfuerzos	17898	53.533
1999	17884	53.492
original	17875	53.465
dificultades	17868	53.444
permanente	17865	53.435
gasto	17853	53.399
rojo	17844	53.372
quedaba	17826	53.318
Guerra	17820	53.3
esperando	17811	53.273
usar	17791	53.213
deuda	17761	53.124
Bolivia	17748	53.085
Desarrollo	17739	53.058
foto	17738	53.055
escala	17730	53.031
lluvia	17730	53.031
estrategias	17720	53.001
Europea	17719	52.998
tuve	17704	52.953
disposición	17666	52.84
olor	17639	52.759
31	17637	52.753
vuelto	17617	52.693
adolescentes	17607	52.663
noticias	17603	52.651
pretende	17601	52.645
recibido	17594	52.624
M	17570	52.552
auto	17570	52.552
45	17553	52.502
cuento	17551	52.496
alcalde	17544	52.475
establece	17539	52.46
móvil	17514	52.385
p	17488	52.307
firma	17460	52.223
sintió	17459	52.22
Don	17449	52.19
venía	17443	52.173
Paz	17440	52.164
directa	17430	52.134
sirve	17425	52.119
verdadero	17423	52.113
Seguridad	17419	52.101
presupuesto	17419	52.101
compra	17418	52.098
permiten	17406	52.062
autoridad	17405	52.059
vivienda	17400	52.044
regreso	17375	51.969
convirtió	17373	51.963
mecanismos	17372	51.96
aprender	17370	51.954
constante	17367	51.945
venido	17362	51.93
lleno	17356	51.912
conocimientos	17355	51.909
actos	17337	51.855
responsables	17332	51.841
reconocer	17325	51.82
periodista	17313	51.784
extraño	17303	51.754
elección	17298	51.739
añadió	17269	51.652
completamente	17254	51.607
corto	17237	51.556
300	17226	51.523
método	17220	51.506
presentes	17219	51.503
murió	17194	51.428
banco	17185	51.401
ruido	17177	51.377
documentos	17173	51.365
declaraciones	17165	51.341
empieza	17161	51.329
causas	17133	51.245
viven	17131	51.239
daño	17129	51.233
suyo	17110	51.177
infantil	17103	51.156
Roberto	17097	51.138
continuación	17090	51.117
vacío	17062	51.033
próximos	17058	51.021
células	17045	50.982
elemento	17037	50.958
hablaba	17029	50.934
minuto	17022	50.913
podrán	17010	50.877
aprendizaje	17008	50.871
moral	16998	50.842
ganado	16992	50.824
Eduardo	16991	50.821
volumen	16984	50.8
puesta	16981	50.791
costa	16980	50.788
cifra	16971	50.761
corresponde	16970	50.758
llevan	16961	50.731
mío	16952	50.704
organismos	16947	50.689
intento	16940	50.668
alcohol	16937	50.659
secreto	16927	50.629
resolver	16918	50.602
Uruguay	16917	50.599
productores	16891	50.521
tengan	16890	50.518
virus	16885	50.504
com	16862	50.435
ciertos	16858	50.423
recorrido	16855	50.414
Gracias	16843	50.378
Vamos	16843	50.378
flores	16838	50.363
queremos	16829	50.336
tierras	16804	50.261
adultos	16795	50.234
mostró	16793	50.228
tío	16790	50.219
pasaba	16789	50.216
parecen	16784	50.201
Sur	16769	50.157
Enrique	16768	50.154
científica	16767	50.151
hubiese	16757	50.121
convertirse	16745	50.085
capítulo	16736	50.058
universidad	16734	50.052
Ejecutivo	16732	50.046
conservación	16711	49.983
considerar	16707	49.971
constituye	16707	49.971
caja	16705	49.965
contenidos	16705	49.965
instrumentos	16705	49.965
doce	16686	49.908
explicar	16681	49.893
vale	16674	49.872
entró	16673	49.869
Plan	16672	49.866
víctima	16638	49.765
sombra	16631	49.744
temperatura	16631	49.744
abuela	16626	49.729
legal	16625	49.726
generales	16611	49.684
pedir	16596	49.639
Finalmente	16590	49.621
titular	16590	49.621
vestido	16588	49.615
resistencia	16584	49.603
regional	16583	49.6
fuertes	16573	49.57
canción	16569	49.558
Alejandro	16568	49.555
paredes	16568	49.555
plata	16567	49.552
negra	16563	49.54
ocurrido	16547	49.493
hacían	16546	49.49
puestos	16540	49.472
límites	16526	49.43
pared	16502	49.358
comprender	16496	49.34
múltiples	16495	49.337
chico	16494	49.334
siguió	16494	49.334
evidencia	16473	49.271
aproximadamente	16441	49.176
Tampoco	16425	49.128
ninguno	16425	49.128
parque	16393	49.032
perdió	16393	49.032
duro	16391	49.026
Teatro	16387	49.014
ojo	16365	48.948
preocupación	16361	48.936
cincuenta	16352	48.909
ventaja	16337	48.864
azúcar	16330	48.844
entidades	16317	48.805
resolución	16315	48.799
hice	16311	48.787
oído	16296	48.742
municipio	16292	48.73
cifras	16287	48.715
producir	16283	48.703
Mario	16280	48.694
empleados	16271	48.667
continuar	16252	48.61
oficiales	16246	48.592
estrellas	16235	48.559
os	16228	48.538
inicial	16227	48.535
acá	16204	48.467
alegría	16198	48.449
definitiva	16172	48.371
llegan	16157	48.326
poesía	16153	48.314
recuperación	16152	48.311
operaciones	16143	48.284
Chávez	16138	48.269
periodistas	16134	48.257
tareas	16134	48.257
Londres	16126	48.233
playa	16122	48.221
económicas	16120	48.215
sucede	16120	48.215
pieza	16108	48.18
tecnologías	16095	48.141
privada	16094	48.138
hará	16088	48.12
Cámara	16079	48.093
colaboración	16078	48.09
quince	16074	48.078
moda	16073	48.075
deberá	16072	48.072
estuviera	16065	48.051
dijeron	16061	48.039
of	16061	48.039
comunicado	16059	48.033
iglesia	16053	48.015
observa	16034	47.958
trabaja	16022	47.922
masa	15995	47.842
salón	15986	47.815
decidido	15985	47.812
deporte	15977	47.788
Corte	15976	47.785
nación	15972	47.773
plano	15970	47.767
matrimonio	15963	47.746
factor	15957	47.728
consiste	15948	47.701
necesaria	15942	47.683
declaró	15934	47.659
teniendo	15930	47.647
Estamos	15911	47.59
Iglesia	15909	47.584
mezcla	15906	47.575
ciclo	15898	47.551
1998	15883	47.507
expresó	15883	47.507
profesores	15880	47.498
pintura	15872	47.474
chicos	15865	47.453
riesgos	15856	47.426
observar	15855	47.423
habitual	15848	47.402
amenaza	15844	47.39
XX	15836	47.366
perro	15835	47.363
hambre	15812	47.294
canciones	15810	47.288
Ricardo	15808	47.282
directo	15807	47.279
diciendo	15803	47.267
periódico	15799	47.255
probablemente	15775	47.183
digital	15760	47.139
Ángel	15732	47.055
accidente	15704	46.971
depende	15694	46.941
muestran	15665	46.854
ciertas	15661	46.843
amiga	15656	46.828
textos	15644	46.792
criterios	15628	46.744
seguido	15612	46.696
silla	15604	46.672
integración	15599	46.657
miembro	15593	46.639
individuos	15580	46.6
Valencia	15557	46.531
salvo	15540	46.481
vos	15534	46.463
quedar	15533	46.46
vehículo	15527	46.442
escuelas	15510	46.391
gustaría	15504	46.373
corriente	15500	46.361
breve	15497	46.352
Gómez	15491	46.334
E	15490	46.331
estaría	15463	46.25
inteligencia	15461	46.244
revolución	15460	46.241
discusión	15452	46.217
John	15418	46.116
partida	15408	46.086
cuarenta	15407	46.083
Tribunal	15398	46.056
abuelo	15398	46.056
esquina	15398	46.056
compañero	15371	45.975
amplia	15363	45.951
espejo	15361	45.945
aparición	15341	45.885
recuperar	15340	45.882
personales	15315	45.808
supo	15309	45.79
capaces	15307	45.784
vienen	15297	45.754
estadio	15289	45.73
fe	15289	45.73
sujeto	15287	45.724
voces	15274	45.685
complejo	15273	45.682
pan	15268	45.667
motivos	15263	45.652
comisión	15262	45.649
sueños	15259	45.64
www	15245	45.598
bar	15240	45.583
Carmen	15238	45.577
tradicionales	15235	45.568
actuar	15223	45.532
técnicos	15218	45.517
ambiental	15215	45.509
analizar	15201	45.467
Soy	15189	45.431
definición	15188	45.428
antiguo	15187	45.425
carretera	15155	45.329
Norte	15145	45.299
diversidad	15145	45.299
di	15143	45.293
opciones	15143	45.293
potencial	15139	45.281
cayó	15136	45.272
sitios	15133	45.263
cárcel	15131	45.257
formar	15129	45.251
dejando	15127	45.245
Washington	15114	45.206
alcance	15107	45.185
vehículos	15106	45.182
luces	15105	45.18
campeón	15104	45.177
universo	15103	45.174
vidas	15096	45.153
permitió	15095	45.15
concentración	15086	45.123
fueran	15081	45.108
hago	15059	45.042
Río	15058	45.039
manifestó	15043	44.994
herramientas	15042	44.991
produjo	15031	44.958
hayan	15020	44.925
rey	15011	44.898
determinar	14997	44.856
dientes	14993	44.845
actuales	14990	44.836
pensé	14989	44.833
convierte	14978	44.8
Usted	14960	44.746
gastos	14955	44.731
figuras	14945	44.701
diagnóstico	14940	44.686
fotografía	14931	44.659
extremo	14928	44.65
publicado	14925	44.641
éstos	14925	44.641
Ante	14908	44.59
destacó	14904	44.578
pude	14895	44.551
parecido	14883	44.515
Museo	14875	44.492
pedido	14873	44.486
gas	14867	44.468
pleno	14853	44.426
estación	14852	44.423
abogado	14851	44.42
garantizar	14850	44.417
responder	14845	44.402
placer	14839	44.384
alemán	14830	44.357
amplio	14823	44.336
comienzo	14819	44.324
entra	14811	44.3
asuntos	14805	44.282
cartas	14805	44.282
completa	14804	44.279
nuevamente	14803	44.276
ofrecer	14796	44.255
participantes	14771	44.181
EE	14766	44.166
prevención	14766	44.166
infancia	14762	44.154
instrumento	14749	44.115
cuentan	14742	44.094
verdadera	14738	44.082
apareció	14734	44.07
cierre	14731	44.061
entrenador	14731	44.061
registro	14730	44.058
estén	14718	44.022
enseñanza	14717	44.019
jardín	14701	43.971
recurso	14696	43.956
regresar	14680	43.908
aumentar	14674	43.89
genera	14658	43.843
dirigentes	14654	43.831
Algo	14645	43.804
clima	14644	43.801
colectivo	14627	43.75
cuyos	14618	43.723
presentado	14618	43.723
Fundación	14591	43.642
madrugada	14588	43.633
previsto	14587	43.63
pasión	14580	43.609
dispuesto	14576	43.597
votos	14562	43.555
Rosa	14554	43.531
continúa	14550	43.519
Grupo	14546	43.508
margen	14544	43.502
crédito	14535	43.475
suelen	14530	43.46
instalaciones	14523	43.439
Ah	14519	43.427
números	14516	43.418
dejaba	14510	43.4
Cultura	14499	43.367
Incluso	14487	43.331
levantó	14486	43.328
promoción	14466	43.268
Puede	14448	43.214
compartir	14448	43.214
inició	14434	43.173
beneficio	14432	43.167
habló	14426	43.149
reglas	14418	43.125
darse	14417	43.122
artículos	14409	43.098
humor	14409	43.098
aparecen	14401	43.074
UU	14399	43.068
Ahí	14398	43.065
seguramente	14398	43.065
comerciales	14397	43.062
distinto	14396	43.059
medicamentos	14396	43.059
patio	14396	43.059
Solo	14393	43.05
detalle	14381	43.014
costos	14372	42.987
papeles	14369	42.978
cuestiones	14367	42.972
sentado	14342	42.897
triste	14342	42.897
Federación	14341	42.894
reconoce	14341	42.894
recuerdos	14341	42.894
ideal	14334	42.873
plena	14323	42.841
bases	14321	42.835
nació	14316	42.82
recordó	14303	42.781
similares	14302	42.778
correr	14301	42.775
paisaje	14297	42.763
avión	14275	42.697
sal	14274	42.694
miraba	14261	42.655
realización	14251	42.625
temprano	14250	42.622
escolar	14246	42.61
relato	14244	42.604
fuese	14226	42.55
relacionados	14225	42.547
2013	14222	42.538
empresarios	14220	42.532
et	14212	42.509
mostrar	14208	42.497
tomado	14199	42.47
soldados	14193	42.452
identificar	14183	42.422
estatal	14179	42.41
conocía	14155	42.338
rival	14150	42.323
poca	14137	42.284
Díaz	14114	42.215
drogas	14112	42.209
rápidamente	14112	42.209
altas	14107	42.194
intentar	14087	42.135
alimentación	14084	42.126
llamaba	14079	42.111
Civil	14057	42.045
corrupción	14055	42.039
controlar	14048	42.018
estados	14041	41.997
pienso	14037	41.985
respuestas	14037	41.985
Lima	14027	41.955
responde	14027	41.955
respectivamente	14024	41.946
tráfico	14024	41.946
cambiado	14023	41.943
señal	14023	41.943
corte	14017	41.925
máxima	13991	41.847
comunes	13990	41.845
restos	13990	41.845
considerado	13987	41.836
goles	13983	41.824
pase	13976	41.803
Bogotá	13971	41.788
intelectual	13970	41.785
felicidad	13969	41.782
400	13966	41.773
superar	13961	41.758
viendo	13960	41.755
intensidad	13952	41.731
profundo	13949	41.722
Guatemala	13945	41.71
patrimonio	13920	41.635
únicamente	13915	41.62
sacó	13901	41.578
Castro	13900	41.575
impuestos	13896	41.563
conocida	13889	41.542
líderes	13874	41.498
destaca	13868	41.48
punta	13868	41.48
extranjeros	13863	41.465
cantante	13861	41.459
protagonista	13856	41.444
Vicente	13854	41.438
especiales	13850	41.426
municipios	13849	41.423
polvo	13849	41.423
quedaron	13845	41.411
policías	13837	41.387
gustaba	13832	41.372
impresión	13819	41.333
ventas	13817	41.327
tensión	13806	41.294
utiliza	13805	41.291
aceptar	13774	41.198
Hugo	13764	41.169
oscuro	13761	41.16
lector	13728	41.061
delito	13705	40.992
encontramos	13705	40.992
acceder	13700	40.977
Víctor	13693	40.956
errores	13689	40.944
concreto	13677	40.908
sentimientos	13677	40.908
tendrán	13674	40.899
histórica	13666	40.875
Otros	13660	40.857
alternativa	13659	40.854
cerrar	13655	40.843
antigua	13650	40.828
bajar	13639	40.795
títulos	13630	40.768
incluyendo	13618	40.732
acuerdos	13612	40.714
asistencia	13612	40.714
decirle	13609	40.705
probable	13605	40.693
declaración	13600	40.678
dura	13598	40.672
conflictos	13575	40.603
apertura	13574	40.6
vemos	13565	40.573
procedimiento	13562	40.564
entiende	13560	40.558
compañías	13556	40.546
Dirección	13542	40.505
Quiero	13542	40.505
cuándo	13538	40.493
disfrutar	13537	40.49
2014	13536	40.487
siglos	13522	40.445
ejecución	13520	40.439
restaurante	13518	40.433
internet	13517	40.43
clasificación	13508	40.403
quedarse	13501	40.382
meta	13493	40.358
índice	13491	40.352
Isabel	13489	40.346
tratando	13484	40.331
infraestructura	13483	40.328
tren	13482	40.325
claramente	13481	40.322
educativo	13470	40.289
preparación	13456	40.247
vivía	13455	40.244
portavoz	13441	40.202
europeos	13433	40.179
ruta	13429	40.167
humanidad	13423	40.149
caminar	13418	40.134
Hernández	13416	40.128
adecuada	13409	40.107
universidades	13404	40.092
populares	13398	40.074
métodos	13397	40.071
termina	13396	40.068
frontera	13382	40.026
recibe	13375	40.005
tía	13373	39.999
forman	13372	39.996
inversiones	13362	39.966
reacción	13358	39.954
Paraguay	13349	39.927
techo	13346	39.918
1997	13343	39.909
Comité	13334	39.882
cooperación	13330	39.87
afecta	13326	39.858
asociación	13308	39.805
mensajes	13307	39.802
temor	13307	39.802
interpretación	13306	39.799
muchacho	13303	39.79
PSOE	13300	39.781
lógica	13296	39.769
rumbo	13293	39.76
institucional	13292	39.757
2015	13289	39.748
petróleo	13288	39.745
cumplimiento	13287	39.742
cuesta	13284	39.733
equilibrio	13274	39.703
escribió	13268	39.685
bancos	13265	39.676
menudo	13261	39.664
síntomas	13257	39.652
fundamentales	13256	39.649
judicial	13246	39.619
estrella	13236	39.589
conseguido	13233	39.58
elegir	13229	39.568
malo	13226	39.559
agencia	13224	39.553
Administración	13223	39.55
tuviera	13209	39.509
mejora	13195	39.467
dueño	13191	39.455
campos	13189	39.449
estructuras	13178	39.416
mierda	13178	39.416
XIX	13177	39.413
reflexión	13156	39.35
acabar	13151	39.335
cuánto	13149	39.329
perfectamente	13145	39.317
propone	13125	39.257
afuera	13121	39.245
batalla	13116	39.23
colección	13116	39.23
representante	13110	39.212
pide	13097	39.174
exactamente	13089	39.15
individual	13080	39.123
zapatos	13068	39.087
adecuado	13045	39.018
hogares	13037	38.994
individuo	13033	38.982
juventud	13025	38.958
Quizá	13016	38.931
igualdad	13016	38.931
acaso	13011	38.916
cabe	13003	38.892
Federal	13001	38.886
máquina	13000	38.883
colombiano	12994	38.865
segura	12967	38.785
olvidar	12953	38.743
perfil	12952	38.74
sesión	12949	38.731
consideran	12945	38.719
graves	12933	38.683
Japón	12929	38.671
Premio	12924	38.656
avance	12924	38.656
industrial	12924	38.656
publicidad	12922	38.65
crimen	12920	38.644
viviendas	12915	38.629
soledad	12911	38.617
concierto	12902	38.59
Mira	12892	38.56
críticas	12892	38.56
nacido	12890	38.554
Raúl	12885	38.539
candidatos	12883	38.533
derrota	12875	38.51
viejos	12867	38.486
subir	12863	38.474
repente	12856	38.453
Organización	12853	38.444
conducta	12832	38.381
contestó	12826	38.363
Tenemos	12817	38.336
llorar	12815	38.33
medicina	12814	38.327
reales	12808	38.309
Secretaría	12805	38.3
independencia	12803	38.294
acercó	12800	38.285
municipal	12793	38.264
positivo	12791	38.258
mía	12780	38.225
tomando	12771	38.198
límite	12754	38.148
salido	12753	38.145
32	12737	38.097
suya	12734	38.088
honor	12733	38.085
canal	12712	38.022
Departamento	12698	37.98
creciente	12684	37.938
negros	12672	37.902
utilización	12668	37.89
producen	12667	37.887
realizan	12666	37.884
interna	12655	37.851
anual	12652	37.843
atender	12649	37.834
vías	12643	37.816
descubrir	12635	37.792
edificios	12635	37.792
Nosotros	12616	37.735
funciona	12615	37.732
voto	12614	37.729
Tres	12609	37.714
tocar	12609	37.714
lágrimas	12606	37.705
prisión	12605	37.702
turismo	12604	37.699
carreras	12598	37.681
percepción	12595	37.672
consulta	12591	37.66
millón	12585	37.642
nacimiento	12577	37.618
Escuela	12571	37.6
promover	12569	37.594
integral	12558	37.561
creado	12554	37.549
Torres	12546	37.525
